variant,n_incidents,x50,gini_val,pct_zero
7 Majors (full),493805,6.607534829547999,0.759281707609896,36.65165972315549
7 Majors (minus shoplifting),465055,7.171975092953456,0.7492996897280293,36.69421672714241
Shoplifting only (in majors),28750,0.17022801594767728,0.9887326185314814,95.66030551449178
Grand larceny (full),195030,4.84589884872105,0.8065886191125553,52.79308336693097
Grand larceny (minus shopl.),174938,5.942301661962998,0.7890246605729835,52.89163642879541
Robbery (full),65951,4.084352461586704,0.8660025562900467,74.16565873762487
Robbery (minus shopl.),57293,4.467365497468978,0.8606342778610724,74.81969269363437
