run,step,crime_added,n_incidents,observed_50x,null_50x,marginal_50x,observed_gini,null_gini,marginal_gini,pct_zero
1,1,Shootings,3860,1.1691976884827309,2.069342669973905,-0.9001449814911742,0.9732479210665642,0.9585744516351957,0.014673469431368491,96.66935447744478
1,2,Felony assault (outdoor),47862,3.759575325897057,14.691750420170571,-10.932175094273514,0.8828977033305895,0.6590932640718035,0.22380443925878601,78.90292523406352
1,3,Murder,49297,3.7696546163150115,14.820956865096102,-11.051302248781091,0.8827226649090913,0.652837815201361,0.22988484970773038,78.72149800654034
1,4,Commercial burglary,69468,4.194104735026654,16.749723871558466,-12.555619136531812,0.8669819152188357,0.5784467837404522,0.2885351314783835,74.34260628051786
1,5,Grand larceny,264498,5.399139900551001,29.372811308515907,-23.973671407964908,0.7946736642897945,0.32064369187260855,0.4740299724171859,48.204766384446536
1,6,Felony assault,377575,5.5951261031223405,32.280875173553696,-26.685749070431356,0.7928949068091677,0.27021274657302985,0.5226821602361379,45.415042780988216
1,7,Robbery,443526,5.643282712897012,33.379958034610155,-27.736675321713143,0.7906033754784365,0.24989675875090422,0.5407066167275323,43.09344622138602
1,8,Theft from auto,519826,6.661291045110424,34.406351956666384,-27.74506091155596,0.7596392702397962,0.2312779370452016,0.5283613331945946,36.71325538682077
1,9,Pickpocket (non-transit),530658,6.486583344532545,34.62332227981376,-28.13673893528122,0.7628200179973245,0.22895778060545402,0.5338622373918704,36.71325538682077
1,10,Residential burglary,558206,6.709447654885096,35.02308353614511,-28.313635881260012,0.7570158755230356,0.22335769386613546,0.5336581816569002,35.518299511714375
1,11,Burglary,613487,6.863996774627066,35.553030664042716,-28.68903388941565,0.7545976179851372,0.2132567550071467,0.5413408629779906,35.174483716346366
1,12,Vehicle accessory theft,649407,7.272767997133002,35.99573735455331,-28.72296935742031,0.7441633838894419,0.20738329928497012,0.5367800846044718,33.82273887918291
1,13,GLA,706510,7.718496617838104,36.46792226684502,-28.749425649006916,0.7353192972527723,0.198968963474642,0.5363503337781304,33.51028087622631
1,14,Gun violence,710370,7.697218115844644,36.51680143359801,-28.819583317753366,0.7357949769819714,0.19843645120045728,0.5373585257815141,33.51028087622631
1,15,Retail theft,946894,4.166106706087891,38.1206001962525,-33.95449349016461,0.7931098191892536,0.17222254085169486,0.6208872783375587,33.37141065269005
1,16,Pickpocket (transit),948085,4.152667652197286,38.121453852207345,-33.96878620001006,0.7933257479392479,0.17211563811661368,0.6212101098226342,33.37141065269005
1,17,Robbery (outdoor),986434,4.308336693096806,38.426575889409506,-34.1182391963127,0.791562464376319,0.16877640424437523,0.6227860601319438,33.37141065269005
1,18,Street assault,1095740,4.598396272902388,38.98482997786301,-34.38643370496062,0.7876516221306644,0.16022953445791,0.6274220876727544,32.072302109931464
2,1,Robbery (outdoor),38349,4.385611252967791,13.441233607270394,-9.055622354302603,0.8705379164045384,0.7046468119163348,0.16589110448820354,78.9734802669892
2,2,Commercial burglary,58520,4.535680688079559,15.306524673981153,-10.770843985901594,0.8598545992505668,0.6159313628205663,0.24392323643000058,74.53635264077408
2,3,Shootings,62380,4.665591542355418,15.436990810450924,-10.771399268095506,0.8568946637275684,0.6020054043129506,0.2548892594146178,73.76920664785199
2,4,GLA,119483,7.677059535008735,22.761120669622255,-15.08406113461352,0.7678723248219022,0.4626735928321235,0.30519873198977865,56.58849616986964
2,5,Felony assault,232560,6.6008153026026966,27.99973866476227,-21.39892336215957,0.7753707201001354,0.34085449916740307,0.43451622093273234,48.922635846436414
2,6,Felony assault (outdoor),276562,6.292836984276307,29.84762813273192,-23.554791148455614,0.7837955973391478,0.3138895291500128,0.46990606818913505,48.922635846436414
2,7,Vehicle accessory theft,312482,7.1036599023428755,30.660452312061935,-23.55679240971906,0.759795162561799,0.2960451927984017,0.46374996976339733,44.20104824620347
2,8,Theft from auto,388782,8.08471083635712,32.4619336668938,-24.37722283053668,0.7371591404580763,0.2664106119180394,0.4707485285400369,40.98575460287596
2,9,Robbery,454733,7.697218115844644,33.611555957172165,-25.91433784132752,0.7444648107419924,0.24687890411859192,0.4975859066234005,40.55906464184921
2,10,Residential burglary,482281,7.932401558930251,33.9856542554278,-26.053252696497545,0.7380485296913635,0.23990125043721644,0.49814727925414704,38.90942077677732
2,11,Gun violence,486141,7.88424494915558,34.016058197817514,-26.131813248661935,0.7389290667967349,0.23896999611237657,0.4999590706843583,38.90942077677732
2,12,Grand larceny,681171,7.743134883304215,36.137659610368665,-28.39452472706445,0.7356567423928255,0.2025743459743079,0.5330823964185176,33.81265958876495
2,13,Murder,682606,7.739775119831564,36.138608886458016,-28.398833766626453,0.7357479618313996,0.20236491092547015,0.5333830509059294,33.80146037718944
2,14,Burglary,737887,7.823769206647852,36.78131419424203,-28.957544987594176,0.7341949435991336,0.1947602027273937,0.5394347408717399,33.51028087622631
2,15,Pickpocket (transit),739078,7.800250862339292,36.789444104169746,-28.989193241830456,0.7345688247877555,0.1946056622459822,0.5399631625417733,33.51028087622631
2,16,Retail theft,975602,4.367692514446983,38.34483025391189,-33.97713773946491,0.7903564446051811,0.1696998577832789,0.6206565868219022,33.37141065269005
2,17,Street assault,1084908,4.654392330779913,38.93642178002004,-34.28202944924013,0.7865165577665222,0.16101907196438514,0.625497485802137,32.072302109931464
2,18,Pickpocket (non-transit),1095740,4.598396272902388,38.98482997786301,-34.38643370496062,0.7876516221306644,0.16022953445791,0.6274220876727544,32.072302109931464
3,1,Residential burglary,27548,4.019397034448775,11.120577244274399,-7.101180209825624,0.8884284205750126,0.7666397572737872,0.1217886633012254,83.01303588227388
3,2,Felony assault,140625,4.943331989427945,23.622216672521926,-18.678884683093983,0.8267182819513507,0.4303077258960052,0.3964105560553455,61.51502934193433
