run,step,observed_50x,individual_50x
1,1,4.066433723065896,4.066433723065896
1,2,0.15006943511176812,0.12431124848810644
1,3,0.3124580029565919,5.1538771670474395
1,4,1.1859965058459885,1.590288043721722
1,5,1.334946019800206,3.8738072839672086
1,6,1.4962146664874794,4.067553644223446
1,7,1.6507637862294495,0.3438157953680061
1,8,2.7807642341979126,3.131299556511222
1,9,3.298167808986247,1.3607042064238677
1,10,3.4919141692424853,3.929803341844734
1,11,3.640863683196703,0.268781077812122
1,12,3.740536666218698,0.3606146127312637
1,13,4.005957980558168,1.134480132598665
1,14,4.496483447565291,1.412220579671191
1,15,4.642073198046858,0.667473009900103
1,16,4.795502396631277,3.308247099404202
1,17,5.611924920485598,6.0251758276217355
1,18,6.2693186399677465,3.8973256282757696
1,19,6.858397168839313,2.130090041661067
1,20,7.15853603906285,4.995968283832818
2,1,0.8466603951081844,0.8466603951081844
2,2,1.5410115127894997,2.836760292075438
2,3,2.076333826098643,0.9127357434036644
2,4,4.7529453926443574,4.6510325673072614
2,5,5.078842449491556,1.000089593692604
2,6,6.335393988263227,2.125610357030865
2,7,8.006316355328584,4.231062133225821
2,8,7.525870178739416,0.797383864175962
2,9,7.605384580925503,0.4894055458495722
2,10,7.986157774492676,0.8791381086771491
2,11,8.397168839313712,7.054383371410653
2,12,9.16207498992071,1.6742821305380102
2,13,9.215831205483134,0.8164225238543207
2,14,9.368140482910004,0.3527751646284102
2,15,9.416297092684674,0.18814675446848542
2,16,9.425256461945079,0.20382565067419253
2,17,9.612283295256013,1.9845002911795009
2,18,9.800430049724499,3.902925234063522
2,19,10.900192626439098,2.813241947766877
2,20,10.94722931505622,3.689020292971375
3,1,4.766384446534964,4.766384446534964
3,2,6.10133046633517,3.2813689916229896
3,3,6.197643685884514,0.6193164001254312
3,4,8.587555436097299,3.9969986112977645
3,5,8.269497827352954,1.3058280697038929
3,6,9.128477355194194,2.014738162433365
3,7,9.299825292299422,0.4266899610267437
3,8,13.476011288805267,12.07163015723693
3,9,13.506249160059133,0.1713479371052278
3,10,13.815347399543072,3.0909823948394033
3,11,14.399946243784438,3.251131120369126
3,12,14.551135600053756,3.7035792680195314
3,13,16.8514536576625,11.448953993638847
3,14,17.104555839268915,2.1771267302781885
3,15,18.08224700981051,5.310666129104511
3,16,18.10464543296152,1.4222998700891458
3,17,18.1662410966268,0.7234690677776284
3,18,18.464140124535234,7.73193567172871
3,19,18.604130269229046,3.8099717779868296
3,20,18.662366169421674,0.929534560766922
4,1,2.5892577162567756,2.5892577162567756
4,2,5.683599874568831,6.108049993280473
4,3,6.147247233794741,1.2263136675178068
4,4,5.428257850647315,3.5490301482775615
4,5,5.8975048156609775,1.3842225507324284
4,6,6.947990861443355,8.314294673654974
4,7,7.279487524078305,1.517493168480939
4,8,7.550508444205528,3.233212381848318
4,9,7.828248891278054,2.2196837342651077
4,10,7.932401558930251,0.6405949021188908
4,11,8.979527841239976,5.8717466290373155
4,12,9.036643820275053,0.6663530887425525
4,13,9.157595305290508,1.5029341934327822
4,14,9.22703041705864,0.5095641266854813
4,15,11.436634860905793,9.64812077229763
4,16,12.300094073377235,4.395690543385745
4,17,12.438964296913497,0.6282757693858353
4,18,10.603413519688214,1.9094655736236168
4,19,10.960668368946827,1.3954217623079335
4,20,12.696546163150114,5.1975540921919094
5,1,1.5667696994131612,1.5667696994131612
5,2,4.841419164090848,4.395690543385745
5,3,5.168436142095596,1.1568785557496752
5,4,8.094790126775075,5.101240872642566
5,5,8.90113336021144,1.911705415938718
5,6,9.396138511848767,2.3159969538144516
5,7,9.14079648792725,0.729068673565381
5,8,9.484612283295256,1.3551046006361152
5,9,9.677238722393943,0.9631321954934373
5,10,9.778031626573489,0.6809120637907091
5,11,7.750974331407069,0.33933611073780406
5,12,8.510280876226314,4.814541056309635
5,13,8.757783452044976,1.3730233391569233
5,14,12.061550866818976,7.001747077005779
5,15,12.569995072346908,2.358553957801371
5,16,11.572145320969403,0.48604578237692064
5,17,11.267526766115665,0.6517941136943959
5,18,11.573265242126954,1.7728351924024548
5,19,11.705415938717914,0.6181964789678807
5,20,11.887963087398647,2.072974062625991
6,1,12.386328002508623,12.386328002508623
6,2,1.5914079648792725,0.8668189759440935
6,3,1.7425973211485912,1.063925099672983
6,4,3.2096940375397573,3.2836088339380907
6,5,3.2220131702728128,0.45580791112305696
6,6,3.4661559826188237,5.079962370649106
6,7,3.4807149576669802,1.0448864399946243
6,8,4.070913407696098,3.6442234466693546
6,9,4.9321327778524395,2.7023697531693767
6,10,4.943331989427945,0.6965909599964163
6,11,5.003807731935671,1.6899610267437173
6,12,6.273798324597949,7.201093043049769
6,13,6.721766787618152,1.4099807373560902
6,14,7.514670967163911,4.6622317788827665
6,15,7.552748286520629,0.7089100927294718
6,16,8.736504950051517,4.719347757917842
6,17,8.739864713524168,0.15342919858441967
6,18,8.868655646642477,0.9586525108632352
6,19,9.05232271648076,0.5185234959458854
6,20,13.6563185951709,10.651570129462886
7,1,6.774403082023025,6.774403082023025
7,2,7.506831519061058,1.854589436903642
7,3,5.318505577207365,4.09667159431976
7,4,6.094610939389867,1.8187519598620256
7,5,6.98158849616987,7.122698562021234
7,6,7.198853200734669,0.46252743806836
7,7,6.148367154952291,0.45020830533530437
7,8,6.261479191864892,0.49836491510997627
7,9,6.3712314653048425,2.763965416834655
7,10,6.515701294628858,0.8533799220534874
7,11,7.805850468127044,7.671459929220982
