crime_type,year,n_incidents,lambda,observed_50x,null_50x,marginal_50x,observed_gini,null_gini,marginal_gini
Retail theft,2006,16981,0.19017381176365183,0.0010303274649464678,0.07809768290963762,-0.07706735544469115,0.9916638829229449,0.8409446268987995,0.1507192560241455
Retail theft,2007,17894,0.20039869193208798,9.407337723424271e-4,0.081396257239647,-0.08045552346730457,0.9922578925351445,0.833892860752534,0.15836503178261052
Retail theft,2008,19670,0.22028849169018502,8.735385028893966e-4,0.087568442804271,-0.0866949043013816,0.9925372929190625,0.820541342613541,0.1719959503055215
Retail theft,2009,21717,0.24321327778524393,8.399408681628814e-4,0.09428909719133532,-0.09344915632317244,0.9928321461880277,0.8057277974413503,0.18710434874667747
Retail theft,2010,22971,0.2572570891009273,7.839448102853559e-4,0.0982020406672291,-0.09741809585694373,0.9927254838903327,0.7969441496140968,0.1957813342762359
Retail theft,2011,23261,0.2605048604578238,7.727455987098508e-4,0.09908515917628313,-0.09831241357757328,0.992778063645505,0.7949433769666838,0.1978346866788212
Retail theft,2012,23139,0.25913855664561214,0.001052725888097478,0.09871463243420417,-0.0976619065461067,0.9916168908926064,0.7957837006905244,0.195833190202082
Retail theft,2013,24724,0.2768893069927877,0.0011311203691260136,0.10341693341681166,-0.10228581304768565,0.9909056902960283,0.7850202585674126,0.20588543172861562
Retail theft,2014,28035,0.31396989651928503,0.001310307754334095,0.11247403208444787,-0.11116372433011378,0.9904252948832103,0.7635690054138665,0.22685628946934377
Retail theft,2015,29119,0.32610984186713254,0.0013775030237871255,0.1152191717099959,-0.11384166868620878,0.9900848025115131,0.756834611787117,0.23325019072439612
Retail theft,2016,29119,0.32610984186713254,0.0017694754289298033,0.1152191717099959,-0.1134496962810661,0.9887862362568937,0.756834611787117,0.23195162446977668
Retail theft,2017,32231,0.3609617882901044,0.001993459660439905,0.12251347411993424,-0.12052001445949434,0.9882325529171208,0.7382438580669273,0.24998869485019348
Retail theft,2018,35299,0.395320969403754,0.0019150651794113695,0.1288756720317702,-0.12696060685235883,0.9892215426669618,0.7209313989672406,0.26829014369972126
Retail theft,2019,37907,0.4245285131926712,0.0019486628141378846,0.1336576417672271,-0.13170897895308922,0.9891095917566268,0.7069521234632639,0.28215746829336297
Retail theft,2020,32326,0.36202571338977735,0.0019710612372888948,0.12272267901307835,-0.12075161777578945,0.9894276768164547,0.7376930560747688,0.25173462074168595
Retail theft,2021,43988,0.49263091878331766,0.0012767101196075796,0.14266779835133084,-0.14139108823172325,0.9922403064351959,0.6767514862439572,0.3154888201912387
Retail theft,2022,63973,0.7164471621197868,0.0012207140617300541,0.157416793342889,-0.15619607928115894,0.9922955539259941,0.5964925023724074,0.39580305155358675
Retail theft,2023,59115,0.662041392285983,0.0012431124848810643,0.1531819894922292,-0.15193887700734812,0.9922213523533249,0.6137304718259515,0.37849088052737334
Retail theft,2024,61213,0.6855373381713927,0.0011535187922770238,0.15341189550111942,-0.1522583767088424,0.9925543381160796,0.6061292018195924,0.3864251362964872
Retail theft,2025,52223,0.584856426107602,0.0012767101196075796,0.1503859335347518,-0.1491092234151442,0.9923516813480153,0.6405314268847075,0.3518202544633078
Commercial burglary,2006,5426,0.06076692200869059,0.012800698830802312,0.02857398847147929,-0.01577328964067698,0.9675732339685453,0.9427463788792292,0.024826855089316147
Commercial burglary,2007,4782,0.05355462975406532,0.011949558751063925,0.025368526573154044,-0.013418967822090119,0.9705470384403968,0.9491901171837475,0.02135692125664934
Commercial burglary,2008,4482,0.050194866281413786,0.012251937463602562,0.02385848684002148,-0.01160654937641892,0.9708215011988903,0.9522228633309231,0.018598637867967227
Commercial burglary,2009,3814,0.04271379294897639,0.010818438381937912,0.020457513227240084,-0.009639074845302173,0.9747317597965383,0.9590476265924179,0.01568413320412032
Commercial burglary,2010,3917,0.04386731174125342,0.011994355597365945,0.02098540167748731,-0.008991046080121365,0.9727758088475452,0.957988787467682,0.014787021379863208
Commercial burglary,2011,3743,0.04191864892711553,0.01127760605653362,0.02009288670556688,-0.00881528064903326,0.9743012143775162,0.9597788990731295,0.014522315304386635
Commercial burglary,2012,3519,0.03941002553420239,0.010538458092550284,0.018938539600651744,-0.00840008150810146,0.975848927288659,0.9620934910684822,0.013755436220176831
Commercial burglary,2013,3451,0.038648479147068045,0.010101688841105586,0.018586916423267427,-0.008485227582161841,0.9767223170450261,0.9627983898660396,0.013923927178986495
Commercial burglary,2014,3625,0.04059714196120593,0.010269677014738162,0.01948554629272759,-0.00921586927798943,0.9759429411755619,0.9609967749704046,0.014946166205157319
Commercial burglary,2015,3674,0.04114590332840568,0.011244008421807105,0.019737950436938934,-0.008493942015131829,0.9745305116148566,0.9604906640686369,0.014039847546219675
Commercial burglary,2016,3176,0.035568695963804145,0.009900103032746495,0.017159215547294382,-0.007259112514547887,0.9777197891817534,0.9656598510180019,0.012059938163751505
Commercial burglary,2017,3197,0.035803879406889755,0.009832907763293465,0.017268562434105048,-0.007435654670811583,0.9777114356147764,0.9654407287353362,0.012270706879440207
Commercial burglary,2018,3335,0.037349370604309456,0.008970568471979573,0.017985800656338504,-0.00901523218435893,0.9784601819504171,0.9640032971924053,0.014456884758011768
Commercial burglary,2019,2863,0.032063342740671054,0.008992966895130582,0.01552309246880393,-0.006530125573673348,0.979787355488511,0.9689378509241324,0.01084950456437861
Commercial burglary,2020,6428,0.07198853200734669,0.011949558751063925,0.03346416680245453,-0.021514608051390605,0.9677515462090063,0.9328979397721063,0.03485360643689994
Commercial burglary,2021,4518,0.05059803789813197,0.009631321954934373,0.024040257726511995,-0.014408935771577622,0.9741960646714163,0.9518578846001441,0.022338180071272196
Commercial burglary,2022,6138,0.0687407606504502,0.011042422613448013,0.03206095323027312,-0.021018530616825112,0.9693787099258528,0.9357263544727596,0.0336523554530932
Commercial burglary,2023,4982,0.05579447206916633,0.00913855664561215,0.02636927340092591,-0.01723071675531376,0.9737875057369546,0.9471792789891943,0.02660822674776031
Commercial burglary,2024,4753,0.053229852618375664,0.008701787394167451,0.02522302378700388,-0.016521236392836428,0.9750796666153289,0.9494824169219961,0.02559724969333277
Commercial burglary,2025,4298,0.04813421135152085,0.005386820767817946,0.02292702003661248,-0.017540199268794535,0.9824079772406172,0.9540927988797495,0.02831517836086772
Shootings,2006,1566,0.017537965327240963,0.006753124580029566,0.008616087676825613,-0.0018629630967960465,0.9861056688377976,0.9827651742356891,0.0033404946021085014
Shootings,2007,1442,0.016149263091878332,0.005812390807687139,0.007944931322996694,-0.002132540515309555,0.9878565442196753,0.9841080651456809,0.0037484790739943374
Shootings,2008,1520,0.01702280159476773,0.006461945079066434,0.008367331556029485,-0.0019053864769630509,0.9866546216199011,0.9832629120031426,0.003391709616758498
Shootings,2009,1420,0.01590288043721722,0.006495542713792949,0.007825657069662144,-0.0013301143558691947,0.9867826431779766,0.9843467065721819,0.002435936605794664
Shootings,2010,1473,0.016496438650718988,0.006327554540160373,0.008112898208579111,-0.001785343668418738,0.9869794073489758,0.9837719955988848,0.0032074117500909827
Shootings,2011,1510,0.01691080947901268,0.0064395466559154235,0.008313219617600832,-0.0018736729616854082,0.9867167412341323,0.9833711831606333,0.003345558073499011
Shootings,2012,1373,0.015376517493168481,0.005890785288715675,0.007570643709700462,-0.0016798584209847872,0.987868301121856,0.984856922456707,0.0030113786651490004
Shootings,2013,1103,0.012352730367782108,0.005050844420552793,0.006100383392772669,-0.0010495389722198758,0.9897279064736073,0.9877983023098362,0.0019296041637710815
Shootings,2014,1172,0.013125475966491959,0.0051068404784303184,0.006476974562207992,-0.0013701340837776734,0.9895083836609848,0.9870449349703796,0.002463448690605219
Shootings,2015,1138,0.012744702772924787,0.005162836536307844,0.0062914815805213,-0.001128645044213456,0.9894746699814758,0.9874160148742179,0.0020586551072578896
Shootings,2016,997,0.01116561394077857,0.004782063342740671,0.005520702861464842,-7.386395187241705e-4,0.9903396185061029,0.9889579059772329,0.0013817125288699827
Shootings,2017,789,0.008836177933073511,0.0036621421851901624,0.004379164677988039,-7.170224927978762e-4,0.992568052740139,0.9912413287194061,0.0013267240207329722
Shootings,2018,754,0.008444205527930834,0.0036509429736146575,0.004186550600768695,-5.356076271540375e-4,0.9926223337113141,0.9916266002717223,9.95733439591806e-4
Shootings,2019,777,0.008701787394167451,0.003863727993549254,0.00431314272482652,-4.494147312772657e-4,0.9922291740931709,0.9913733879469888,8.557861461820915e-4
Shootings,2020,1532,0.01715719213367379,0.006461945079066434,0.008432249605956555,-0.001970304526890121,0.9866258313587047,0.9831330183489544,0.0034928130097503507
Shootings,2021,1562,0.01749316848093894,0.006977108811539668,0.008594467064048962,-0.001617358252509294,0.985735072368703,0.9828084356019293,0.002926636766773627
Shootings,2022,1294,0.014491779778703579,0.00590198450029118,0.007141389456889334,-0.0012394049565981544,0.9879805803247959,0.985715721205791,0.0022648591190048695
Shootings,2023,974,0.010908032074541952,0.004434887783900014,0.005394739182455133,-9.598513985551197e-4,0.9909733664811599,0.9892098797156635,0.0017634867654963138
Shootings,2024,904,0.010124087264256596,0.004278098821842942,0.005010967572146553,-7.328687503036111e-4,0.9913364930967267,0.9899775512300272,0.0013589418666994924
Shootings,2025,688,0.0077050575639474985,0.0033933611073780406,0.003822920918175003,-4.295598107969625e-4,0.993163467338411,0.9923539312007695,8.095361376414534e-4
Robbery (outdoor),2006,15225,0.17050799623706492,0.028647583210142005,0.07150965499754383,-0.042862071787401826,0.9209238279280311,0.8548807872164448,0.06604304071158629
Robbery (outdoor),2007,14273,0.15984634681718407,0.02704609595484478,0.0678020929600305,-0.040755997005185715,0.9245012750906162,0.8626481468955034,0.061853128195112794
Robbery (outdoor),2008,15476,0.17331899834251668,0.028815571383774583,0.07247116469657502,-0.043655593312800445,0.920375038525693,0.8528580404327959,0.06751699809289713
Robbery (outdoor),2009,12650,0.14167002643013932,0.026855709358061194,0.06125739097612047,-0.034401681618059274,0.9276884331532783,0.8762472872809183,0.05144114587236004
Robbery (outdoor),2010,13637,0.15272364825516282,0.026833310934910183,0.06527127564428037,-0.038437964709370186,0.9254296288404389,0.8679228041000498,0.05750682474038904
Robbery (outdoor),2011,13511,0.1513125475966492,0.02766205259149756,0.06476472888100404,-0.03710267628950648,0.9238791396205831,0.8689760395029998,0.05490310011758326
Robbery (outdoor),2012,13860,0.15522107243650046,0.028054024996640236,0.06616359516182163,-0.03810957016518139,0.9223250658911188,0.8660654615807623,0.05625960431035659
Robbery (outdoor),2013,13174,0.147538413295704,0.02777404470725261,0.06340149978416404,-0.03562745507691143,0.9248594671517484,0.8718065751931601,0.05305289195858831
