crime_type,borough,n_blocks,n_incidents,lambda,observed_50x,null_50x,marginal_50x,observed_gini,null_gini,marginal_gini
Shootings,Manhattan,8082,881,0.10900767136847316,0.020292006928977976,0.04877262594059551,-0.028480619011617535,0.9445371379231211,0.9018728534156127,0.042664284507508365
Shootings,Queens,33339,775,0.023246048171810793,0.007948648729715948,0.011354916209165048,-0.0034062674794490995,0.9832631162379815,0.9772840305169039,0.005979085721077526
Shootings,Staten Island,14381,117,0.008135734649885266,0.002850983937139281,0.0040348618044996065,-0.0011838778673603253,0.9940644618344361,0.9919300093174679,0.0021344525169681994
Shootings,Bronx,12659,1812,0.14313926850462122,0.028517260447112724,0.06179699998998202,-0.033279739542869294,0.9246509781887853,0.8751309419623939,0.04952003622639134
Shootings,Brooklyn,20795,1837,0.0883385429189709,0.01937965857177206,0.04037982370511979,-0.02100016513334773,0.9512080431586935,0.9189244069502758,0.032283636208417676
Shots fired,Manhattan,8082,1949,0.24115317990596388,0.0238802276664192,0.09370214958604914,-0.06982192191962994,0.9301516180545001,0.8070345853678584,0.12311703268664165
Shots fired,Queens,33339,1854,0.055610546207144784,0.014847475929092054,0.026287275486983185,-0.011439799557891131,0.9661585685773224,0.9473440701079252,0.0188144984693972
Shots fired,Staten Island,14381,344,0.023920450594534456,0.005145678325568458,0.011676398907945139,-0.00653072058237668,0.987267195249546,0.9766405198102119,0.010626675439334043
Shots fired,Bronx,12659,3910,0.3088711588593096,0.044079311162019116,0.11128905176222206,-0.06720974060020295,0.8814502141456327,0.7664388611431882,0.11501135300244458
Shots fired,Brooklyn,20795,4241,0.20394325559028612,0.027410435200769415,0.08251972677377747,-0.05510929157300806,0.9229386315101796,0.8314784802371876,0.09146015127299201
Violent crime,Manhattan,8082,89871,11.119896065330364,0.08698341994555803,0.3846850339003349,-0.2977016139547769,0.7135254295076098,0.1682308071908487,0.5452946223167611
Violent crime,Queens,33339,94511,2.8348480758271095,0.054380755271603826,0.28831850894026867,-0.23393775366866484,0.7983679089904252,0.32742228374871696,0.47094562524170824
Violent crime,Staten Island,14381,15249,1.0603574160350462,0.027605868854738893,0.20496078818575658,-0.17735491933101769,0.8850412955111343,0.5112142772284232,0.37382701828271114
Violent crime,Bronx,12659,117722,9.29947073228533,0.07702030176159254,0.3747063941563024,-0.2976860923947099,0.7587818854199891,0.18375391394774732,0.5750279714722418
Violent crime,Brooklyn,20795,119413,5.742389997595576,0.07900937725414763,0.342464142066914,-0.26345476481276636,0.7332924272688578,0.23283229324235188,0.5004601340265059
Violent street crime,Manhattan,8082,43192,5.344221727295224,0.09415986142044049,0.339373861473539,-0.2452140000530985,0.7028511104391691,0.24114474570048283,0.4617063647386863
Violent street crime,Queens,33339,42399,1.271753801853685,0.04574222382195027,0.22346058733682528,-0.17771836351487502,0.8331974097199061,0.4730740088022969,0.3601234009176092
Violent street crime,Staten Island,14381,6196,0.43084625547597527,0.022738335303525484,0.13461804155746837,-0.11187970625394289,0.9175463473993216,0.7040130393896122,0.21353330800970938
Violent street crime,Bronx,12659,49173,3.8844300497669644,0.08191800300181688,0.31470035891718945,-0.23278235591537255,0.7512394831992039,0.28153286629820484,0.469706616900999
Violent street crime,Brooklyn,20795,51152,2.459822072613609,0.08713633084876173,0.2782788270821388,-0.1911424962333771,0.7306708027474964,0.3501783941574871,0.3804924085900093
Property crime,Manhattan,8082,108262,13.395446671615936,0.11210096510764662,0.3941453926912519,-0.28204442758360526,0.6554345000013737,0.15342665301695602,0.5020078469844177
Property crime,Queens,33339,82217,2.466090764570023,0.09070458022136237,0.2783903053939964,-0.18768572517263404,0.7109559427733073,0.34975853914711286,0.36119740362619446
Property crime,Staten Island,14381,10449,0.7265836868089841,0.0636256171337181,0.15912318628145916,-0.09549756914774106,0.8037648754565113,0.5934183979411733,0.21034647751533797
Property crime,Bronx,12659,74291,5.868631013508176,0.10996129236116597,0.3449439736708834,-0.23498268130971744,0.6747333105039021,0.23037088541604767,0.4443624250878544
Property crime,Brooklyn,20795,92389,4.4428468381822555,0.12281798509257033,0.3255336912569307,-0.20271570616436038,0.6370544612594919,0.26381541733103653,0.3732390439284554
Property street crime,Manhattan,8082,38665,4.784088097005692,0.13152684978965604,0.3295964128214144,-0.19806956303175835,0.631326757326054,0.25450326402961454,0.3768234932964395
Property street crime,Queens,33339,43424,1.302498575242209,0.10426227541317976,0.2254804272097553,-0.12121815179657555,0.7058338568073493,0.46817338328074976,0.23766047352659958
Property street crime,Staten Island,14381,4598,0.31972741812113203,0.05701967874278562,0.1137892918176716,-0.056769613074885976,0.8462488822865969,0.7603579537088978,0.08589092857769909
Property street crime,Bronx,12659,45086,3.561576743818627,0.12070463701714196,0.3070705941588014,-0.18636595714165943,0.6586435437215201,0.2935548379144136,0.3650887058071065
Property street crime,Brooklyn,20795,43852,2.108776148112527,0.13734070690069727,0.26653336074282574,-0.12919265384212847,0.6250660745096893,0.37637844282943655,0.24868763168025276
