traj_label,traj_order,n_blocks,mean_of_means,median_of_means,sd_of_means,p25_mean,p75_mean,min_mean,max_mean,cv
Crime-free,1,20006,0,0,0,0,0,0,0,NA
Low-increasing,2,28546,0.2066950111915391,0.21052631578947367,0.1266700466811411,0.10526315789473684,0.3157894736842105,0.05263157894736842,1.105263157894737,0.6128355297543158
Low-moderate,3,17021,0.754575617116936,0.7368421052631579,0.21399390375023458,0.5789473684210527,0.8947368421052632,0.42105263157894735,3.5789473684210527,0.28359504189634066
Moderate,4,11317,1.6532929035498527,1.5789473684210527,0.37398057397283685,1.368421052631579,1.894736842105263,1,11.526315789473685,0.22620345927200672
High,5,7189,3.2278334590126727,3.1052631578947367,0.6965034245051931,2.6842105263157894,3.736842105263158,2,11.263157894736842,0.21578047112698281
Very high,6,4088,6.4916314759501494,6.052631578947368,1.7005673297663029,5.157894736842105,7.473684210526316,4.052631578947368,26.894736842105264,0.2619630113117903
Chronic-high,7,1125,20.181005847953216,14.631578947368421,19.45902777601023,11.789473684210526,20.842105263157894,9.894736842105264,336,0.9642248717738611
