crime_type,year,total_n,lambda,obs_50x,null_50x,mcc_50x,obs_gini,null_gini,mcc_gini,pct_zero
Shootings,2006,1566,0.017537965327240963,0.6753124580029566,0.8616087676825612,-0.18629630967960464,0.9861056688377976,0.9827651742356891,0.0033404946021085014,98.44778927563499
Shootings,2007,1442,0.016149263091878332,0.5812390807687139,0.7944931322996694,-0.2132540515309555,0.9878565442196753,0.9841080651456809,0.0037484790739943374,98.61129776463737
Shootings,2008,1520,0.01702280159476773,0.6461945079066433,0.8367331556029485,-0.19053864769630519,0.9866546216199011,0.9832629120031426,0.003391709616758498,98.50266541235497
Shootings,2009,1420,0.01590288043721722,0.6495542713792949,0.7825657069662144,-0.13301143558691947,0.9867826431779766,0.9843467065721819,0.002435936605794664,98.55530170675985
Shootings,2010,1473,0.016496438650718988,0.6327554540160373,0.8112898208579111,-0.1785343668418738,0.9869794073489758,0.9837719955988848,0.0032074117500909827,98.5429825740268
Shootings,2011,1510,0.01691080947901268,0.6439546655915424,0.8313219617600832,-0.1873672961685408,0.9867167412341323,0.9833711831606333,0.003345558073499011,98.51050486045783
Shootings,2012,1373,0.015376517493168481,0.5890785288715674,0.7570643709700462,-0.16798584209847872,0.987868301121856,0.984856922456707,0.0030113786651490004,98.64265555704878
Shootings,2013,1103,0.012352730367782108,0.5050844420552794,0.6100383392772668,-0.1049538972219875,0.9897279064736073,0.9877983023098362,0.0019296041637710815,98.87783900013439
Shootings,2014,1172,0.013125475966491959,0.5106840478430319,0.6476974562207992,-0.13701340837776727,0.9895083836609848,0.9870449349703796,0.002463448690605219,98.83304215383237
Shootings,2015,1138,0.012744702772924787,0.5162836536307844,0.62914815805213,-0.1128645044213456,0.9894746699814758,0.9874160148742179,0.0020586551072578896,98.84648120772297
Shootings,2016,997,0.01116561394077857,0.4782063342740671,0.5520702861464842,-0.07386395187241705,0.9903396185061029,0.9889579059772329,0.0013817125288699827,98.96407292926578
Shootings,2017,789,0.008836177933073511,0.36621421851901625,0.4379164677988039,-0.07170224927978762,0.992568052740139,0.9912413287194061,0.0013267240207329722,99.19253684540608
Shootings,2018,754,0.008444205527930834,0.36509429736146576,0.4186550600768695,-0.05356076271540375,0.9926223337113141,0.9916266002717223,9.95733439591806e-4,99.212695426241993
Shootings,2019,777,0.008701787394167451,0.3863727993549254,0.431314272482652,-0.044941473127726575,0.9922291740931709,0.9913733879469888,8.557861461820915e-4,99.17909779151547
Shootings,2020,1532,0.01715719213367379,0.6461945079066433,0.8432249605956555,-0.19703045268901218,0.9866258313587047,0.9831330183489544,0.0034928130097503507,98.49594588540967
Shootings,2021,1562,0.01749316848093894,0.6977108811539667,0.8594467064048962,-0.1617358252509295,0.985735072368703,0.9828084356019293,0.002926636766773627,98.42763069479909
Shootings,2022,1294,0.014491779778703579,0.590198450029118,0.7141389456889334,-0.12394049565981544,0.9879805803247959,0.985715721205791,0.0022648591190048695,98.6852125610357
Shootings,2023,974,0.010908032074541952,0.4434887783900014,0.5394739182455134,-0.09598513985551198,0.9909733664811599,0.9892098797156635,0.0017634867654963138,99.0111096178829
Shootings,2024,904,0.010124087264256596,0.42780988218429417,0.5010967572146553,-0.07328687503036112,0.9913364930967267,0.9899775512300272,0.0013589418666994924,99.06598575460288
Murder,2006,553,0.006193164001254312,0.025758186623661694,0.3077443889323056,-0.2819862023086439,0.9990901096259026,0.9938449941837714,0.005245115442131243,99.80065403395601
Murder,2007,458,0.005129238901581329,0.06943511176813152,0.2551487367061242,-0.18571362493799265,0.9978220712301156,0.9948969581380323,0.00292511309208332,99.6741029431528
Murder,2008,514,0.0057563947498096135,0.024638265466111184,0.2861661079676268,-0.2615278425015156,0.9991743958657218,0.9942765830154721,0.004897812850249705,99.82081261479192
Murder,2009,456,0.0051068404784303184,0.024638265466111184,0.25404024986479334,-0.22940198439868217,0.9992562839365582,0.9949191287489464,0.004337155187611796,99.84545088025803
Murder,2010,532,0.005957980558168705,0.019038659678358643,0.296127670941256,-0.27708901126289737,0.9993216898582972,0.9940773414620386,0.005244348396258536,99.84097119562783
Murder,2011,496,0.005554808941450522,0.019038659678358643,0.27620050463514056,-0.25716184495678196,0.999373386049106,0.9944759046823495,0.004897481366756495,99.85441024951844
Murder,2012,415,0.00464767280383461,0.02239842315101017,0.23130526835382484,-0.20890684520281466,0.9993424308711799,0.9953738446686666,0.00396858620251328,99.86336961877883
Murder,2013,322,0.003606146127312637,0.020158580835909153,0.17965787275642553,-0.15949929192051637,0.9994284924080475,0.9964068191815496,0.003021673226497934,99.8913676477176
Murder,2014,335,0.003751735877794203,0.017918738520808136,0.18688389708734557,-0.16896515856653743,0.9994716312270123,0.9962622957532578,0.003209335473754571,99.89024772656005
Murder,2015,346,0.0038749272051247594,0.02127850199345966,0.19299657597979372,-0.17171807398633407,0.9993542003775883,0.9961400395017203,0.0032141608758680107,99.87232898803924
Murder,2016,332,0.003718138243067688,0.02127850199345966,0.18521654045117983,-0.16393803845772018,0.9993993579478511,0.9962956435855133,0.003103714362337806,99.88576804192985
Murder,2017,278,0.0031133808179904135,0.02239842315101017,0.15518488647632725,-0.13278646332531707,0.9993531045342465,0.9968962872281414,0.0024568173061051413,99.8846481207723
Murder,2018,300,0.0033597634726515255,0.02127850199345966,0.16742440465650582,-0.14614590266304617,0.9994314533590168,0.9966514930079212,0.002779960351095623,99.89360749003271
Murder,2019,303,0.0033933611073780406,0.024638265466111184,0.16909296107342758,-0.14445469560731639,0.9992822525096213,0.9966181213075793,0.0026641312020420083,99.87120906688169
Murder,2020,455,0.005095641266854813,0.08175424450118712,0.2534859877266787,-0.1717317432254916,0.9976658627847984,0.9949302144258971,0.002735648358901277,99.66402365273484
Murder,2021,476,0.00533082470994042,0.23966312771580878,0.2651228723602644,-0.025459744644455586,0.9951825979686324,0.99469746721035035,4.8513075828204855e-4,99.49379563678717
Murder,2022,430,0.0048156609774671864,0.2217443891950007,0.23962537840254683,-0.01788098920754615,0.9955516210728532,0.9952074368610215,3.4418421183168846e-4,99.53747256193164
Murder,2023,374,0.004188505129238901,0.1859069121533844,0.20854930110897765,-0.02264238895559325,0.9962604814439245,0.9958289773906241,4.315040533003911e-4,99.60466783138467
Murder,2024,354,0.0039645208977288,0.16910809479012678,0.19744121109490023,-0.028333116304773434,0.9965808237608547,0.9960511447452794,5.296790155752129e-4,99.63266586032343
Outdoor robbery,2006,15225,0.17050799623706492,2.8647583210142007,7.150965499754383,-4.286207178740183,0.9209238279280311,0.8548807872164448,0.06604304071158629,88.90158132867447
Outdoor robbery,2007,14273,0.15984634681718407,2.7046095954844778,6.78020929600305,-4.075599700518572,0.9245012750906162,0.8626481468955034,0.061853128195112794,89.46602159207991
Outdoor robbery,2008,15476,0.17331899834251668,2.8815571383774583,7.247116469657502,-4.3655593312800445,0.920375038525693,0.8528580404327959,0.06751699809289713,88.78398960713166
Outdoor robbery,2009,12650,0.14167002643013932,2.685570935806119,6.125739097612047,-3.440168161805928,0.9276884331532783,0.8762472872809183,0.05144114587236004,90.23092774268692
Outdoor robbery,2010,13637,0.15272364825516282,2.6833310934910184,6.527127564428037,-3.8437964709370185,0.9254296288404389,0.8679228041000498,0.05750682474038904,89.74600188146755
Outdoor robbery,2011,13511,0.1513125475966492,2.7662052591497557,6.476472888100404,-3.710267628950649,0.9238791396205831,0.8689760395029998,0.05490310011758326,89.66872732159656
Outdoor robbery,2012,13860,0.15522107243650046,2.8054024996640234,6.616359516182163,-3.810957016518139,0.9223250658911188,0.8660654615807623,0.05625960431035659,89.44474309008646
