crime_type,period,total_n,obs_50x,null_50x,mcc_50x,obs_gini,null_gini,mcc_gini
Shootings,2006-2024,23300,2.205124759216951,9.920330269682967,-7.715205510466016,0.9306658147575424,0.7946751706583155,0.1359906440992269
Murder,2006-2024,7729,0.04255700398691932,3.963893810584049,-3.9213368065971297,0.9897661361193413,0.9204243785194202,0.06934175759992112
Outdoor robbery,2006-2024,214568,6.008377010258478,27.711322926127917,-21.70294591586944,0.8026066269956779,0.354054272049235,0.44855235494644285
Outdoor felony assault,2006-2024,167058,4.755185234959459,25.23077697653448,-20.47559174157502,0.8349128799000187,0.39782440593895874,0.43708847396106
Gun violence,2017-2024,26199,2.3775926174797295,10.757820965145015,-8.380228347665286,0.9270554988640086,0.7752959233784822,0.15175957548552643
