precinct,traj_label,n,total_blocks,pct_of_precinct
120,Crime-free,896,2976,30.107526881720432
120,Low-increasing,1465,2976,49.22715053763441
120,Low-moderate,405,2976,13.608870967741934
120,Moderate,155,2976,5.208333333333334
120,High,39,2976,1.310483870967742
120,Very high,11,2976,0.3696236559139785
120,Chronic-high,5,2976,0.16801075268817203
121,Crime-free,1154,3276,35.22588522588523
121,Low-increasing,1667,3276,50.88522588522588
121,Low-moderate,341,3276,10.40903540903541
121,Moderate,76,3276,2.31990231990232
121,High,19,3276,0.57997557997558
121,Very high,15,3276,0.4578754578754579
121,Chronic-high,4,3276,0.1221001221001221
122,Crime-free,1643,4576,35.90472027972028
122,Low-increasing,2627,4576,57.40821678321678
122,Low-moderate,250,4576,5.463286713286713
122,Moderate,25,4576,0.5463286713286714
122,High,24,4576,0.5244755244755245
122,Very high,6,4576,0.13111888111888112
122,Chronic-high,1,4576,0.021853146853146852
123,Crime-free,1504,3551,42.354266403829904
123,Low-increasing,1906,3551,53.67502112081104
123,Low-moderate,115,3551,3.2385243593353987
123,Moderate,18,3551,0.5068994649394537
123,High,5,3551,0.14080540692762603
123,Very high,2,3551,0.056322162771050406
123,Chronic-high,1,3551,0.028161081385525203
