physical_id,trajectory_group,posterior_prob,label
3902,0,1,Crime-free-stable
3903,0,1,Crime-free-stable
3904,0,1,Crime-free-stable
3906,0,1,Crime-free-stable
3930,0,1,Crime-free-stable
3967,0,1,Crime-free-stable
3978,0,1,Crime-free-stable
4026,0,1,Crime-free-stable
4043,0,1,Crime-free-stable
4044,0,1,Crime-free-stable
4045,0,1,Crime-free-stable
4053,0,1,Crime-free-stable
4059,0,1,Crime-free-stable
4101,0,1,Crime-free-stable
4102,0,1,Crime-free-stable
4103,0,1,Crime-free-stable
4104,0,1,Crime-free-stable
4105,0,1,Crime-free-stable
4110,0,1,Crime-free-stable
4112,0,1,Crime-free-stable
4113,0,1,Crime-free-stable
4125,0,1,Crime-free-stable
4128,0,1,Crime-free-stable
4130,0,1,Crime-free-stable
4135,0,1,Crime-free-stable
4139,0,1,Crime-free-stable
4254,0,1,Crime-free-stable
4285,0,1,Crime-free-stable
4287,0,1,Crime-free-stable
4291,0,1,Crime-free-stable
4295,0,1,Crime-free-stable
4333,0,1,Crime-free-stable
4334,0,1,Crime-free-stable
4335,0,1,Crime-free-stable
4339,0,1,Crime-free-stable
4340,0,1,Crime-free-stable
4352,0,1,Crime-free-stable
4355,0,1,Crime-free-stable
4391,0,1,Crime-free-stable
4402,0,1,Crime-free-stable
4403,0,1,Crime-free-stable
4405,0,1,Crime-free-stable
4406,0,1,Crime-free-stable
4414,0,1,Crime-free-stable
4423,0,1,Crime-free-stable
4431,0,1,Crime-free-stable
4432,0,1,Crime-free-stable
4434,0,1,Crime-free-stable
4435,0,1,Crime-free-stable
4458,0,1,Crime-free-stable
4459,0,1,Crime-free-stable
4460,0,1,Crime-free-stable
4461,0,1,Crime-free-stable
4464,0,1,Crime-free-stable
4465,0,1,Crime-free-stable
4466,0,1,Crime-free-stable
4476,0,1,Crime-free-stable
4477,0,1,Crime-free-stable
4489,0,1,Crime-free-stable
4508,0,1,Crime-free-stable
4514,0,1,Crime-free-stable
4516,0,1,Crime-free-stable
4518,0,1,Crime-free-stable
4522,0,1,Crime-free-stable
4525,0,1,Crime-free-stable
4529,0,1,Crime-free-stable
4530,0,1,Crime-free-stable
4536,0,1,Crime-free-stable
4544,0,1,Crime-free-stable
4555,0,1,Crime-free-stable
4557,0,1,Crime-free-stable
4560,0,1,Crime-free-stable
4563,0,1,Crime-free-stable
4593,0,1,Crime-free-stable
4594,0,1,Crime-free-stable
4595,0,1,Crime-free-stable
4596,0,1,Crime-free-stable
4633,0,1,Crime-free-stable
4638,0,1,Crime-free-stable
4640,0,1,Crime-free-stable
4664,0,1,Crime-free-stable
4666,0,1,Crime-free-stable
4667,0,1,Crime-free-stable
4672,0,1,Crime-free-stable
4680,0,1,Crime-free-stable
4683,0,1,Crime-free-stable
4684,0,1,Crime-free-stable
4687,0,1,Crime-free-stable
4691,0,1,Crime-free-stable
4692,0,1,Crime-free-stable
4693,0,1,Crime-free-stable
4695,0,1,Crime-free-stable
4697,0,1,Crime-free-stable
4698,0,1,Crime-free-stable
4699,0,1,Crime-free-stable
4701,0,1,Crime-free-stable
4714,0,1,Crime-free-stable
4716,0,1,Crime-free-stable
4717,0,1,Crime-free-stable
4718,0,1,Crime-free-stable
4719,0,1,Crime-free-stable
4720,0,1,Crime-free-stable
4726,0,1,Crime-free-stable
4734,0,1,Crime-free-stable
4736,0,1,Crime-free-stable
4743,0,1,Crime-free-stable
4746,0,1,Crime-free-stable
4751,0,1,Crime-free-stable
4752,0,1,Crime-free-stable
4753,0,1,Crime-free-stable
4754,0,1,Crime-free-stable
4755,0,1,Crime-free-stable
4757,0,1,Crime-free-stable
4758,0,1,Crime-free-stable
4759,0,1,Crime-free-stable
4761,0,1,Crime-free-stable
4765,0,1,Crime-free-stable
4766,0,1,Crime-free-stable
4767,0,1,Crime-free-stable
4768,0,1,Crime-free-stable
4769,0,1,Crime-free-stable
4776,0,1,Crime-free-stable
4805,0,1,Crime-free-stable
4812,0,1,Crime-free-stable
4819,0,1,Crime-free-stable
4838,0,1,Crime-free-stable
4863,0,1,Crime-free-stable
4868,0,1,Crime-free-stable
4869,0,1,Crime-free-stable
4871,0,1,Crime-free-stable
4876,0,1,Crime-free-stable
4884,0,1,Crime-free-stable
4888,0,1,Crime-free-stable
4889,0,1,Crime-free-stable
4896,0,1,Crime-free-stable
4898,0,1,Crime-free-stable
4915,0,1,Crime-free-stable
4927,0,1,Crime-free-stable
4931,0,1,Crime-free-stable
4935,0,1,Crime-free-stable
4937,0,1,Crime-free-stable
4939,0,1,Crime-free-stable
4943,0,1,Crime-free-stable
4945,0,1,Crime-free-stable
4972,0,1,Crime-free-stable
5091,0,1,Crime-free-stable
5126,0,1,Crime-free-stable
5129,0,1,Crime-free-stable
5147,0,1,Crime-free-stable
5150,0,1,Crime-free-stable
5159,0,1,Crime-free-stable
5174,0,1,Crime-free-stable
5178,0,1,Crime-free-stable
5194,0,1,Crime-free-stable
5197,0,1,Crime-free-stable
5210,0,1,Crime-free-stable
5225,0,1,Crime-free-stable
5226,0,1,Crime-free-stable
5233,0,1,Crime-free-stable
5234,0,1,Crime-free-stable
5235,0,1,Crime-free-stable
5236,0,1,Crime-free-stable
5237,0,1,Crime-free-stable
5239,0,1,Crime-free-stable
5242,0,1,Crime-free-stable
5250,0,1,Crime-free-stable
5251,0,1,Crime-free-stable
5254,0,1,Crime-free-stable
5257,0,1,Crime-free-stable
5271,0,1,Crime-free-stable
5272,0,1,Crime-free-stable
5273,0,1,Crime-free-stable
5274,0,1,Crime-free-stable
5275,0,1,Crime-free-stable
5282,0,1,Crime-free-stable
5296,0,1,Crime-free-stable
5311,0,1,Crime-free-stable
5312,0,1,Crime-free-stable
5327,0,1,Crime-free-stable
5337,0,1,Crime-free-stable
5350,0,1,Crime-free-stable
5351,0,1,Crime-free-stable
5356,0,1,Crime-free-stable
5366,0,1,Crime-free-stable
5369,0,1,Crime-free-stable
5384,0,1,Crime-free-stable
5393,0,1,Crime-free-stable
5417,0,1,Crime-free-stable
5418,0,1,Crime-free-stable
5419,0,1,Crime-free-stable
5422,0,1,Crime-free-stable
5423,0,1,Crime-free-stable
5424,0,1,Crime-free-stable
5511,0,1,Crime-free-stable
5512,0,1,Crime-free-stable
5516,0,1,Crime-free-stable
5518,0,1,Crime-free-stable
5519,0,1,Crime-free-stable
5553,0,1,Crime-free-stable
5562,0,1,Crime-free-stable
5570,0,1,Crime-free-stable
5582,0,1,Crime-free-stable
5584,0,1,Crime-free-stable
5589,0,1,Crime-free-stable
5590,0,1,Crime-free-stable
5594,0,1,Crime-free-stable
5621,0,1,Crime-free-stable
5634,0,1,Crime-free-stable
5635,0,1,Crime-free-stable
5637,0,1,Crime-free-stable
5638,0,1,Crime-free-stable
5639,0,1,Crime-free-stable
5641,0,1,Crime-free-stable
5642,0,1,Crime-free-stable
5650,0,1,Crime-free-stable
5655,0,1,Crime-free-stable
5669,0,1,Crime-free-stable
5670,0,1,Crime-free-stable
5672,0,1,Crime-free-stable
5674,0,1,Crime-free-stable
5679,0,1,Crime-free-stable
5680,0,1,Crime-free-stable
5681,0,1,Crime-free-stable
5686,0,1,Crime-free-stable
5688,0,1,Crime-free-stable
5690,0,1,Crime-free-stable
5703,0,1,Crime-free-stable
5709,0,1,Crime-free-stable
5710,0,1,Crime-free-stable
5718,0,1,Crime-free-stable
5741,0,1,Crime-free-stable
5742,0,1,Crime-free-stable
5743,0,1,Crime-free-stable
5760,0,1,Crime-free-stable
5763,0,1,Crime-free-stable
5764,0,1,Crime-free-stable
5765,0,1,Crime-free-stable
5770,0,1,Crime-free-stable
5771,0,1,Crime-free-stable
5810,0,1,Crime-free-stable
5889,0,1,Crime-free-stable
5890,0,1,Crime-free-stable
5896,0,1,Crime-free-stable
5897,0,1,Crime-free-stable
5903,0,1,Crime-free-stable
5909,0,1,Crime-free-stable
5910,0,1,Crime-free-stable
5918,0,1,Crime-free-stable
5929,0,1,Crime-free-stable
5932,0,1,Crime-free-stable
5933,0,1,Crime-free-stable
5934,0,1,Crime-free-stable
5947,0,1,Crime-free-stable
5949,0,1,Crime-free-stable
