maj7_group,ct_group,n,crime_type
5,0,7,Street assault
5,1,1182,Street assault
5,2,609,Street assault
5,3,303,Street assault
5,4,1987,Street assault
6,0,3484,Street assault
6,1,1491,Street assault
6,3,12022,Street assault
6,4,24,Street assault
0,0,20006,Residential burglary
1,0,2217,Residential burglary
1,1,75,Residential burglary
1,2,2397,Residential burglary
1,3,2019,Residential burglary
1,4,4609,Residential burglary
2,0,17607,Residential burglary
2,2,44,Residential burglary
2,3,1207,Residential burglary
2,4,9688,Residential burglary
3,0,174,Residential burglary
3,1,358,Residential burglary
3,2,225,Residential burglary
3,3,130,Residential burglary
3,4,238,Residential burglary
4,0,1057,Residential burglary
4,1,601,Residential burglary
4,2,2222,Residential burglary
4,3,1155,Residential burglary
4,4,2154,Residential burglary
5,0,498,Residential burglary
5,1,1069,Residential burglary
5,2,1042,Residential burglary
5,3,521,Residential burglary
5,4,958,Residential burglary
6,0,5043,Residential burglary
6,2,1004,Residential burglary
6,3,2242,Residential burglary
6,4,8732,Residential burglary
0,0,20006,Commercial burglary
1,0,6193,Commercial burglary
1,1,755,Commercial burglary
1,2,3527,Commercial burglary
1,3,762,Commercial burglary
1,4,80,Commercial burglary
2,0,26191,Commercial burglary
2,1,211,Commercial burglary
2,2,1948,Commercial burglary
2,3,196,Commercial burglary
3,0,81,Commercial burglary
3,1,144,Commercial burglary
3,2,370,Commercial burglary
3,3,124,Commercial burglary
3,4,406,Commercial burglary
4,0,2671,Commercial burglary
4,1,655,Commercial burglary
4,2,2797,Commercial burglary
4,3,795,Commercial burglary
4,4,271,Commercial burglary
5,0,835,Commercial burglary
5,1,538,Commercial burglary
5,2,1677,Commercial burglary
5,3,564,Commercial burglary
5,4,474,Commercial burglary
6,0,12596,Commercial burglary
6,1,564,Commercial burglary
6,2,3362,Commercial burglary
6,3,487,Commercial burglary
6,4,12,Commercial burglary
0,0,19940,Retail theft
0,1,66,Retail theft
1,0,8132,Retail theft
1,1,2752,Retail theft
1,2,79,Retail theft
1,3,1,Retail theft
1,4,353,Retail theft
2,0,27683,Retail theft
2,1,854,Retail theft
2,4,9,Retail theft
3,0,193,Retail theft
3,1,411,Retail theft
3,2,144,Retail theft
3,3,157,Retail theft
3,4,220,Retail theft
4,0,4021,Retail theft
4,1,2348,Retail theft
4,2,200,Retail theft
4,3,12,Retail theft
4,4,608,Retail theft
5,0,1651,Retail theft
5,1,1483,Retail theft
5,2,336,Retail theft
5,3,81,Retail theft
5,4,537,Retail theft
6,0,14910,Retail theft
6,1,1987,Retail theft
6,2,13,Retail theft
6,4,111,Retail theft
0,0,19588,Vehicle accessory theft
0,2,112,Vehicle accessory theft
0,3,68,Vehicle accessory theft
0,4,238,Vehicle accessory theft
1,0,3676,Vehicle accessory theft
1,1,238,Vehicle accessory theft
1,2,1605,Vehicle accessory theft
1,3,1312,Vehicle accessory theft
1,4,4486,Vehicle accessory theft
2,0,19572,Vehicle accessory theft
2,1,7,Vehicle accessory theft
2,2,1732,Vehicle accessory theft
2,3,1296,Vehicle accessory theft
2,4,5939,Vehicle accessory theft
3,0,378,Vehicle accessory theft
3,1,161,Vehicle accessory theft
3,2,136,Vehicle accessory theft
3,3,123,Vehicle accessory theft
3,4,327,Vehicle accessory theft
4,0,2273,Vehicle accessory theft
4,1,311,Vehicle accessory theft
4,2,1006,Vehicle accessory theft
4,3,950,Vehicle accessory theft
4,4,2649,Vehicle accessory theft
5,0,1240,Vehicle accessory theft
5,1,270,Vehicle accessory theft
5,2,590,Vehicle accessory theft
5,3,530,Vehicle accessory theft
5,4,1458,Vehicle accessory theft
6,0,6779,Vehicle accessory theft
6,1,94,Vehicle accessory theft
6,2,2087,Vehicle accessory theft
6,3,1696,Vehicle accessory theft
6,4,6365,Vehicle accessory theft
0,0,18710,Theft from auto
0,1,1174,Theft from auto
0,2,1,Theft from auto
0,4,121,Theft from auto
1,0,192,Theft from auto
1,1,4581,Theft from auto
1,2,3632,Theft from auto
1,3,215,Theft from auto
1,4,2697,Theft from auto
2,0,8562,Theft from auto
2,1,16832,Theft from auto
2,2,194,Theft from auto
2,3,3,Theft from auto
2,4,2955,Theft from auto
3,0,15,Theft from auto
3,1,143,Theft from auto
3,2,417,Theft from auto
3,3,439,Theft from auto
3,4,111,Theft from auto
4,0,102,Theft from auto
4,1,1893,Theft from auto
4,2,3410,Theft from auto
4,3,558,Theft from auto
4,4,1226,Theft from auto
5,0,46,Theft from auto
5,1,700,Theft from auto
5,2,2091,Theft from auto
5,3,772,Theft from auto
5,4,479,Theft from auto
6,0,809,Theft from auto
6,1,10322,Theft from auto
6,2,1786,Theft from auto
6,3,28,Theft from auto
6,4,4076,Theft from auto
0,0,20006,Pickpocket (non-transit)
1,0,9415,Pickpocket (non-transit)
1,1,1704,Pickpocket (non-transit)
1,3,10,Pickpocket (non-transit)
1,4,188,Pickpocket (non-transit)
2,0,28250,Pickpocket (non-transit)
2,1,285,Pickpocket (non-transit)
2,4,11,Pickpocket (non-transit)
3,0,128,Pickpocket (non-transit)
3,1,416,Pickpocket (non-transit)
3,2,128,Pickpocket (non-transit)
3,3,314,Pickpocket (non-transit)
3,4,139,Pickpocket (non-transit)
4,0,4517,Pickpocket (non-transit)
4,1,2266,Pickpocket (non-transit)
4,2,1,Pickpocket (non-transit)
4,3,48,Pickpocket (non-transit)
4,4,357,Pickpocket (non-transit)
5,0,1511,Pickpocket (non-transit)
5,1,1956,Pickpocket (non-transit)
5,2,7,Pickpocket (non-transit)
5,3,189,Pickpocket (non-transit)
5,4,425,Pickpocket (non-transit)
6,0,16071,Pickpocket (non-transit)
6,1,878,Pickpocket (non-transit)
6,4,72,Pickpocket (non-transit)
0,0,19986,Shootings
0,1,17,Shootings
0,3,1,Shootings
0,4,2,Shootings
1,0,8775,Shootings
1,1,1875,Shootings
1,2,9,Shootings
1,3,422,Shootings
1,4,236,Shootings
2,0,27829,Shootings
2,1,545,Shootings
2,3,101,Shootings
2,4,71,Shootings
3,0,441,Shootings
3,1,259,Shootings
3,2,227,Shootings
3,3,109,Shootings
3,4,89,Shootings
4,0,4398,Shootings
4,1,1886,Shootings
4,2,57,Shootings
4,3,521,Shootings
4,4,327,Shootings
5,0,1858,Shootings
5,1,1164,Shootings
5,2,258,Shootings
5,3,497,Shootings
5,4,311,Shootings
6,0,15322,Shootings
6,1,1306,Shootings
6,2,1,Shootings
6,3,251,Shootings
6,4,141,Shootings
