crime_type,n_incidents,lambda,observed_50x,null_50x,marginal_50x,observed_gini,null_gini,marginal_gini
Shootings,23988,0.26864668727321594,0.022264032612104107,0.10126337147831237,-0.07899933886620826,0.9297417163015649,0.7899770903669242,0.13976462593464067
Shots fired,20892,0.2339739282354522,0.02253281368991623,0.09163058751879266,-0.06909777382887643,0.9293990820411742,0.8116258870064268,0.11777319503474737
Violent crime,1636608,18.328719258164224,0.05760874434439815,0.4088636873963222,-0.351254943051924,0.7836289840993723,0.1313311710782734,0.6522978130210989
Violent street crime,766741,8.586894682614345,0.05998297719840523,0.36901327171634307,-0.30903029451793784,0.785118817879515,0.19111654623021035,0.5940022716493046
Property crime,1376797,15.419040899520674,0.08042153832370201,0.4009324863240102,-0.32051094800030816,0.7176117092555749,0.14309400882420475,0.5745177004313702
Property street crime,560103,6.272712001075124,0.10436545267213188,0.3504259356530543,-0.24606048298092242,0.681899712370668,0.2229870061289252,0.45891270624174285
